"","ZIPCODE","COUNT","RANKING"
"1",10001,315,6
"2",10002,348,5
"3",10003,471,1
"4",10004,76,30
"5",10005,39,36
"6",10006,32,38
"7",10007,86,26
"8",10009,213,13
"9",10010,177,15
"10",10011,314,7
"11",10012,295,9
"12",10013,357,4
"13",10014,299,8
"14",10016,292,10
"15",10017,206,14
"16",10018,235,12
"17",10019,429,2
"18",10021,118,24
"19",10022,289,11
"20",10023,135,21
"21",10024,138,19.5
"22",10025,173,16
"23",10026,68,33
"24",10027,120,23
"25",10028,140,18
"26",10029,158,17
"27",10030,36,37
"28",10031,78,28.5
"29",10032,83,27
"30",10033,78,28.5
"31",10034,75,31
"32",10035,62,34
"33",10036,391,3
"34",10037,23,40
"35",10038,129,22
"36",10039,28,39
"37",10040,58,35
"38",10065,138,19.5
"39",10069,3,43
"40",10075,70,32
"41",10128,109,25
"42",10280,7,41
"43",10282,6,42
