"","trans.zip1","trans.zip2","trans.zip3","club.zip1","club.zip2","club.zip3","theatre.zip1","theatre.zip2","theatre.zip3","market.zip1","market.zip2","market.zip3"
"1",10025,10003,10075,10019,10018,10007,10003,10027,10010,10002,10027,10012
"2",10027,10001,10014,10036,10021,10026,10036,10002,10017,10029,10016,10023
"3",10029,10026,10065,10003,10010,10033,10019,10009,10026,10033,10035,10017
"4",10002,10013,10012,10014,10024,10031,10023,10282,10029,10003,10036,10038
"5",10019,10016,10028,10022,10028,10040,10011,10018,10030,10025,10034,10030
"6",10032,10022,10018,10013,10023,10075,10012,10024,10031,10032,10128,10039
"7",10023,10038,10037,10011,10025,10032,10065,10025,10032,10009,10024,10037
"8",10024,10034,10128,10012,10128,10006,10001,10038,10033,10011,10010,10065
"9",10011,10040,10004,10016,10038,10005,10013,10021,10034,10031,10013,10007
"10",10007,10033,10006,10002,10027,10035,10014,10075,10035,10019,10018,10075
"11",10010,10039,10005,10001,10065,10030,10022,10004,10037,10040,10022,10005
"12",10031,10035,10021,10009,10034,10280,10016,10005,10039,10001,10028,10006
"13",10009,10036,10030,10017,10004,10282,10028,10006,10040,10021,10014,10280
"14",10003,10017,10280,10018,10029,10037,10027,10007,10128,10027,10026,10004
"15",10001,10075,10282,10021,10007,10039,10002,10010,10280,10016,10012,10282
"16",10026,10014,11106,10010,10026,11106,10009,10017,11106,10035,10023,11106
"17",10013,10065,11231,10024,10033,11231,10282,10026,11231,10036,10017,11231
"18",10016,10012,10069,10028,10031,10069,10018,10029,10069,10034,10038,10069
"19",10022,10028,11109,10023,10040,11109,10024,10030,11109,10128,10030,11109
