,zipcode,count
1,10001,44
2,10002,72
3,10003,57
4,10004,2
5,10005,4
6,10006,4
7,10007,10
8,10009,56
9,10010,32
10,10011,55
11,10012,24
12,10013,31
13,10014,26
14,10016,40
15,10017,23
16,10018,30
17,10019,46
18,10021,44
19,10022,29
20,10023,24
21,10024,32
22,10025,57
23,10026,26
24,10027,42
25,10028,28
26,10029,71
27,10030,20
28,10031,51
29,10032,57
30,10033,59
31,10034,35
32,10035,36
33,10036,35
34,10037,15
35,10038,20
36,10039,18
37,10040,46
38,10065,15
39,10075,7
40,10128,34
41,10280,4
42,10282,2
