"","zipcode","count"
"1",10001,15
"2",10002,35
"3",10003,18
"4",10004,2
"5",10005,3
"6",10006,1
"7",10007,2
"8",10009,30
"9",10010,27
"10",10011,15
"11",10012,5
"12",10013,8
"13",10014,10
"14",10016,22
"15",10017,14
"16",10018,7
"17",10019,28
"18",10020,3
"19",10021,17
"20",10022,14
"21",10023,34
"22",10024,30
"23",10025,45
"24",10026,20
"25",10027,47
"26",10028,12
"27",10029,43
"28",10030,18
"29",10031,26
"30",10032,35
"31",10033,16
"32",10034,15
"33",10035,19
"34",10036,12
"35",10037,10
"36",10038,13
"37",10039,15
"38",10040,15
"39",10065,10
"40",10075,18
"41",10110,1
"42",10112,1
"43",10123,2
"44",10128,10
"45",10280,2
"46",10282,1
