"","DBA","BUILDING","STREET","ZIPCODE","CUISINE.DESCRIPTION"
"1","NEW DOUBLE DRAGON","37","1 AVENUE",10003,"Chinese"
"2","CHAPATI HOUSE","3153","BROADWAY",10027,"Indian"
"3","FEI TENG RESTAURANT","68","EAST BROADWAY",10002,"Chinese"
"4","THE JUNCTION","329","LEXINGTON AVENUE",10016,"American"
"5","RUFFIAN WINE BAR","125","E 7TH ST",10009,"Continental"
"6","LA BOITE EN BOIS","75","WEST   68 STREET",10023,"French"
"7","ANDY'S DELI","291","BROADWAY",10007,"American"
"8","NUTS.COM","2","PENN STATION",10119,"Not Listed/Not Applicable"
"9","FRESH & CO","261-267","CANAL ST",10013,"American"
"10","POMODORO RISTORANTE","51","SPRING STREET",10012,"Pizza/Italian"
